Place;Date;Time;Value;Unit;Value;Unit;;Unit;;Unit;;
1;23-02-2021;9:52:24;-68,8;T1 KTemp C;-64,8;T2 KTemp C;-62,5;T3 KTemp C;-63,7;T4 KTemp C;-64,5;-65,7
3;23-02-2021;9:53:24;-69;T1 KTemp C;-64,9;T2 KTemp C;-62,6;T3 KTemp C;-63,7;T4 KTemp C;-64,6;-65,7
5;23-02-2021;9:54:24;-68,9;T1 KTemp C;-64,9;T2 KTemp C;-62,6;T3 KTemp C;-63,8;T4 KTemp C;-64,6;-65,8
7;23-02-2021;9:55:24;-68,9;T1 KTemp C;-64,8;T2 KTemp C;-62,5;T3 KTemp C;-63,5;T4 KTemp C;-64,5;-65,5
9;23-02-2021;9:56:24;-68,7;T1 KTemp C;-64,7;T2 KTemp C;-62,5;T3 KTemp C;-63,4;T4 KTemp C;-64,5;-65,4
11;23-02-2021;9:57:24;-68,6;T1 KTemp C;-64,6;T2 KTemp C;-62,5;T3 KTemp C;-62,9;T4 KTemp C;-64,5;-64,9
13;23-02-2021;9:58:24;-52,1;T1 KTemp C;-26;T2 KTemp C;-48,4;T3 KTemp C;-37,5;T4 KTemp C;-50,4;-39,5
15;23-02-2021;9:59:24;-60,2;T1 KTemp C;-48,3;T2 KTemp C;-54,9;T3 KTemp C;-48,5;T4 KTemp C;-56,9;-50,5
17;23-02-2021;10:00:24;-62,8;T1 KTemp C;-54,8;T2 KTemp C;-57,4;T3 KTemp C;-54;T4 KTemp C;-59,4;-56
19;23-02-2021;10:01:24;-63,8;T1 KTemp C;-57;T2 KTemp C;-58,6;T3 KTemp C;-56,5;T4 KTemp C;-60,6;-58,5
21;23-02-2021;10:02:24;-64,1;T1 KTemp C;-58,1;T2 KTemp C;-59,1;T3 KTemp C;-57,8;T4 KTemp C;-61,1;-59,8
23;23-02-2021;10:03:24;-64,3;T1 KTemp C;-58,8;T2 KTemp C;-59,4;T3 KTemp C;-58,4;T4 KTemp C;-61,4;-60,4
25;23-02-2021;10:04:24;-64,5;T1 KTemp C;-59,2;T2 KTemp C;-59,6;T3 KTemp C;-58,7;T4 KTemp C;-61,6;-60,7
27;23-02-2021;10:05:24;-64,4;T1 KTemp C;-59,4;T2 KTemp C;-59,6;T3 KTemp C;-58,9;T4 KTemp C;-61,6;-60,9
29;23-02-2021;10:06:24;-64,5;T1 KTemp C;-59,5;T2 KTemp C;-60,1;T3 KTemp C;-59;T4 KTemp C;-62,1;-61
31;23-02-2021;10:07:24;-64,4;T1 KTemp C;-59,5;T2 KTemp C;-60,1;T3 KTemp C;-60,1;T4 KTemp C;-62,1;-62,1
33;23-02-2021;10:08:24;-64,4;T1 KTemp C;-59,6;T2 KTemp C;-60,1;T3 KTemp C;-60,1;T4 KTemp C;-62,1;-62,1
35;23-02-2021;10:09:24;-64,4;T1 KTemp C;-59,7;T2 KTemp C;-60,1;T3 KTemp C;-60,1;T4 KTemp C;-62,1;-62,1
37;23-02-2021;10:10:24;-64,3;T1 KTemp C;-59,6;T2 KTemp C;-60,1;T3 KTemp C;-60,1;T4 KTemp C;-62,1;-62,1
39;23-02-2021;10:11:24;-64,3;T1 KTemp C;-59,6;T2 KTemp C;-60,1;T3 KTemp C;-60,1;T4 KTemp C;-62,1;-62,1
41;23-02-2021;10:12:24;-64,3;T1 KTemp C;-60,1;T2 KTemp C;-60,1;T3 KTemp C;-60,1;T4 KTemp C;-62,1;-62,1
43;23-02-2021;10:13:24;-64,4;T1 KTemp C;-60,6;T2 KTemp C;-60,4;T3 KTemp C;-60,1;T4 KTemp C;-62,4;-62,1
45;23-02-2021;10:14:24;-64,8;T1 KTemp C;-60,8;T2 KTemp C;-60,8;T3 KTemp C;-60,1;T4 KTemp C;-62,8;-62,1
47;23-02-2021;10:15:24;-65,1;T1 KTemp C;-61,1;T2 KTemp C;-61;T3 KTemp C;-60,4;T4 KTemp C;-63;-62,4
49;23-02-2021;10:16:24;-65,6;T1 KTemp C;-61,4;T2 KTemp C;-61,2;T3 KTemp C;-60,7;T4 KTemp C;-63,2;-62,7
51;23-02-2021;10:17:24;-66;T1 KTemp C;-61,7;T2 KTemp C;-61,5;T3 KTemp C;-61;T4 KTemp C;-63,5;-63
53;23-02-2021;10:18:24;-66,5;T1 KTemp C;-62;T2 KTemp C;-61,8;T3 KTemp C;-61,3;T4 KTemp C;-63,8;-63,3
55;23-02-2021;10:19:24;-66,9;T1 KTemp C;-62,4;T2 KTemp C;-62,1;T3 KTemp C;-61,6;T4 KTemp C;-64,1;-63,6
57;23-02-2021;10:20:24;-67,3;T1 KTemp C;-62,8;T2 KTemp C;-62,6;T3 KTemp C;-62,1;T4 KTemp C;-64,6;-64,1
59;23-02-2021;10:21:24;-67,6;T1 KTemp C;-63,2;T2 KTemp C;-63;T3 KTemp C;-62,5;T4 KTemp C;-65;-64,5
61;23-02-2021;10:22:24;-67,9;T1 KTemp C;-63,5;T2 KTemp C;-63,2;T3 KTemp C;-62,8;T4 KTemp C;-65,2;-64,8
63;23-02-2021;10:23:24;-67,9;T1 KTemp C;-63,7;T2 KTemp C;-63,4;T3 KTemp C;-63;T4 KTemp C;-65,4;-65
65;23-02-2021;10:24:24;-68;T1 KTemp C;-63,7;T2 KTemp C;-63,4;T3 KTemp C;-63,1;T4 KTemp C;-65,4;-65,1
67;23-02-2021;10:25:24;-67,9;T1 KTemp C;-63,7;T2 KTemp C;-63,4;T3 KTemp C;-63,1;T4 KTemp C;-65,4;-65,1
69;23-02-2021;10:26:24;-67,9;T1 KTemp C;-63,7;T2 KTemp C;-63,4;T3 KTemp C;-63;T4 KTemp C;-65,4;-65
71;23-02-2021;10:27:24;-67,9;T1 KTemp C;-63,7;T2 KTemp C;-63,3;T3 KTemp C;-63;T4 KTemp C;-65,3;-65
73;23-02-2021;10:28:24;-67,8;T1 KTemp C;-63,5;T2 KTemp C;-63,2;T3 KTemp C;-62,8;T4 KTemp C;-65,2;-64,8
75;23-02-2021;10:29:24;-67,6;T1 KTemp C;-63,5;T2 KTemp C;-63,1;T3 KTemp C;-62,7;T4 KTemp C;-65,1;-64,7
77;23-02-2021;10:30:24;-67,5;T1 KTemp C;-63,3;T2 KTemp C;-63,1;T3 KTemp C;-62,7;T4 KTemp C;-65,1;-64,7
79;23-02-2021;10:31:24;-67,4;T1 KTemp C;-63,3;T2 KTemp C;-63;T3 KTemp C;-62,5;T4 KTemp C;-65;-64,5
81;23-02-2021;10:32:24;-67,2;T1 KTemp C;-63,2;T2 KTemp C;-62,8;T3 KTemp C;-62,4;T4 KTemp C;-64,8;-64,4
83;23-02-2021;10:33:24;-67,1;T1 KTemp C;-63;T2 KTemp C;-62,7;T3 KTemp C;-62,4;T4 KTemp C;-64,7;-64,4
85;23-02-2021;10:34:24;-67;T1 KTemp C;-62,9;T2 KTemp C;-62,6;T3 KTemp C;-62,2;T4 KTemp C;-64,6;-64,2
87;23-02-2021;10:35:24;-66,8;T1 KTemp C;-62,8;T2 KTemp C;-62,6;T3 KTemp C;-62,1;T4 KTemp C;-64,6;-64,1
89;23-02-2021;10:36:24;-66,6;T1 KTemp C;-62,6;T2 KTemp C;-62,5;T3 KTemp C;-62;T4 KTemp C;-64,5;-64
91;23-02-2021;10:37:24;-66,5;T1 KTemp C;-62,5;T2 KTemp C;-62,3;T3 KTemp C;-61,9;T4 KTemp C;-64,3;-63,9
93;23-02-2021;10:38:24;-66,2;T1 KTemp C;-62,4;T2 KTemp C;-62,2;T3 KTemp C;-61,8;T4 KTemp C;-64,2;-63,8
95;23-02-2021;10:39:24;-66,1;T1 KTemp C;-62,2;T2 KTemp C;-62,1;T3 KTemp C;-61,6;T4 KTemp C;-64,1;-63,6
97;23-02-2021;10:40:24;-65,9;T1 KTemp C;-62;T2 KTemp C;-61,9;T3 KTemp C;-61,5;T4 KTemp C;-63,9;-63,5
99;23-02-2021;10:41:24;-65,7;T1 KTemp C;-61,9;T2 KTemp C;-61,8;T3 KTemp C;-61,3;T4 KTemp C;-63,8;-63,3
101;23-02-2021;10:42:24;-65,4;T1 KTemp C;-61,6;T2 KTemp C;-61,6;T3 KTemp C;-61,2;T4 KTemp C;-63,6;-63,2
103;23-02-2021;10:43:24;-65,2;T1 KTemp C;-61,5;T2 KTemp C;-61,4;T3 KTemp C;-60,9;T4 KTemp C;-63,4;-62,9
105;23-02-2021;10:44:24;-65,1;T1 KTemp C;-61,4;T2 KTemp C;-61,3;T3 KTemp C;-60,9;T4 KTemp C;-63,3;-62,9
107;23-02-2021;10:45:24;-64,7;T1 KTemp C;-61,2;T2 KTemp C;-61,1;T3 KTemp C;-60,6;T4 KTemp C;-63,1;-62,6
109;23-02-2021;10:46:24;-64,5;T1 KTemp C;-61,1;T2 KTemp C;-61,1;T3 KTemp C;-60,6;T4 KTemp C;-63,1;-62,6
111;23-02-2021;10:47:24;-64,3;T1 KTemp C;-60,9;T2 KTemp C;-60,9;T3 KTemp C;-60,3;T4 KTemp C;-62,9;-62,3
113;23-02-2021;10:48:24;-64,1;T1 KTemp C;-60,8;T2 KTemp C;-60,8;T3 KTemp C;-60,2;T4 KTemp C;-62,8;-62,2
115;23-02-2021;10:49:24;-63,9;T1 KTemp C;-61;T2 KTemp C;-61;T3 KTemp C;-60,2;T4 KTemp C;-63;-62,2
117;23-02-2021;10:50:24;-63,9;T1 KTemp C;-61,4;T2 KTemp C;-61,5;T3 KTemp C;-60,7;T4 KTemp C;-63,5;-62,7
119;23-02-2021;10:51:24;-64,1;T1 KTemp C;-61,6;T2 KTemp C;-61,7;T3 KTemp C;-60,9;T4 KTemp C;-63,7;-62,9
121;23-02-2021;10:52:24;-64,4;T1 KTemp C;-61,7;T2 KTemp C;-61,8;T3 KTemp C;-61;T4 KTemp C;-63,8;-63
123;23-02-2021;10:53:24;-64,8;T1 KTemp C;-61,8;T2 KTemp C;-61,8;T3 KTemp C;-61,2;T4 KTemp C;-63,8;-63,2
125;23-02-2021;10:54:24;-65,1;T1 KTemp C;-62;T2 KTemp C;-62;T3 KTemp C;-61,3;T4 KTemp C;-64;-63,3
127;23-02-2021;10:55:24;-65,4;T1 KTemp C;-62,2;T2 KTemp C;-62,1;T3 KTemp C;-61,5;T4 KTemp C;-64,1;-63,5
129;23-02-2021;10:56:24;-65,7;T1 KTemp C;-62,4;T2 KTemp C;-62,4;T3 KTemp C;-61,8;T4 KTemp C;-64,4;-63,8
131;23-02-2021;10:57:24;-66;T1 KTemp C;-62,6;T2 KTemp C;-62,6;T3 KTemp C;-62;T4 KTemp C;-64,6;-64
133;23-02-2021;10:58:24;-66,2;T1 KTemp C;-63;T2 KTemp C;-62,8;T3 KTemp C;-62,3;T4 KTemp C;-64,8;-64,3
135;23-02-2021;10:59:24;-66,3;T1 KTemp C;-63,1;T2 KTemp C;-63;T3 KTemp C;-62,5;T4 KTemp C;-65;-64,5
137;23-02-2021;11:00:24;-66,4;T1 KTemp C;-63,1;T2 KTemp C;-63,1;T3 KTemp C;-62,6;T4 KTemp C;-65,1;-64,6
139;23-02-2021;11:01:24;-66,3;T1 KTemp C;-63,2;T2 KTemp C;-63,1;T3 KTemp C;-62,7;T4 KTemp C;-65,1;-64,7
141;23-02-2021;11:02:24;-66,2;T1 KTemp C;-63;T2 KTemp C;-62,9;T3 KTemp C;-62,5;T4 KTemp C;-64,9;-64,5
143;23-02-2021;11:03:24;-66,1;T1 KTemp C;-63;T2 KTemp C;-62,9;T3 KTemp C;-62,4;T4 KTemp C;-64,9;-64,4
145;23-02-2021;11:04:24;-66;T1 KTemp C;-62,8;T2 KTemp C;-62,7;T3 KTemp C;-62,3;T4 KTemp C;-64,7;-64,3
147;23-02-2021;11:05:24;-66;T1 KTemp C;-62,7;T2 KTemp C;-62,6;T3 KTemp C;-62,3;T4 KTemp C;-64,6;-64,3
149;23-02-2021;11:06:24;-65,8;T1 KTemp C;-62,6;T2 KTemp C;-62,6;T3 KTemp C;-62,1;T4 KTemp C;-64,6;-64,1
151;23-02-2021;11:07:24;-65,7;T1 KTemp C;-62,6;T2 KTemp C;-62,4;T3 KTemp C;-62;T4 KTemp C;-64,4;-64
153;23-02-2021;11:08:24;-65,5;T1 KTemp C;-62,4;T2 KTemp C;-62,3;T3 KTemp C;-61,9;T4 KTemp C;-64,3;-63,9
155;23-02-2021;11:09:24;-65,4;T1 KTemp C;-62,3;T2 KTemp C;-62,2;T3 KTemp C;-61,7;T4 KTemp C;-64,2;-63,7
157;23-02-2021;11:10:24;-65,2;T1 KTemp C;-62,1;T2 KTemp C;-62;T3 KTemp C;-61,5;T4 KTemp C;-64;-63,5
159;23-02-2021;11:11:24;-65;T1 KTemp C;-62;T2 KTemp C;-61,9;T3 KTemp C;-61,4;T4 KTemp C;-63,9;-63,4
161;23-02-2021;11:12:24;-64,8;T1 KTemp C;-61,8;T2 KTemp C;-61,7;T3 KTemp C;-61,2;T4 KTemp C;-63,7;-63,2
163;23-02-2021;11:13:24;-64,6;T1 KTemp C;-61,7;T2 KTemp C;-61,6;T3 KTemp C;-61,1;T4 KTemp C;-63,6;-63,1
165;23-02-2021;11:14:24;-64,5;T1 KTemp C;-61,5;T2 KTemp C;-61,4;T3 KTemp C;-61;T4 KTemp C;-63,4;-63
167;23-02-2021;11:15:24;-64,2;T1 KTemp C;-61,3;T2 KTemp C;-61,3;T3 KTemp C;-60,8;T4 KTemp C;-63,3;-62,8
169;23-02-2021;11:16:24;-64,1;T1 KTemp C;-61,2;T2 KTemp C;-61,2;T3 KTemp C;-60,7;T4 KTemp C;-63,2;-62,7
171;23-02-2021;11:17:24;-63,8;T1 KTemp C;-61;T2 KTemp C;-61,1;T3 KTemp C;-60,5;T4 KTemp C;-63,1;-62,5
173;23-02-2021;11:18:24;-63,5;T1 KTemp C;-60,9;T2 KTemp C;-60,8;T3 KTemp C;-60,3;T4 KTemp C;-62,8;-62,3
175;23-02-2021;11:19:24;-63,3;T1 KTemp C;-60,7;T2 KTemp C;-60,8;T3 KTemp C;-60,2;T4 KTemp C;-62,8;-62,2
177;23-02-2021;11:20:24;-63,2;T1 KTemp C;-60,9;T2 KTemp C;-60,8;T3 KTemp C;-60,2;T4 KTemp C;-62,8;-62,2
179;23-02-2021;11:21:24;-63,1;T1 KTemp C;-61,2;T2 KTemp C;-61,4;T3 KTemp C;-60,6;T4 KTemp C;-63,4;-62,6
181;23-02-2021;11:22:24;-63,3;T1 KTemp C;-61,5;T2 KTemp C;-61,6;T3 KTemp C;-60,8;T4 KTemp C;-63,6;-62,8
183;23-02-2021;11:23:24;-63,4;T1 KTemp C;-61,5;T2 KTemp C;-61,7;T3 KTemp C;-60,9;T4 KTemp C;-63,7;-62,9
185;23-02-2021;11:24:24;-63,8;T1 KTemp C;-61,6;T2 KTemp C;-61,7;T3 KTemp C;-61;T4 KTemp C;-63,7;-63
187;23-02-2021;11:25:24;-64,1;T1 KTemp C;-61,8;T2 KTemp C;-61,8;T3 KTemp C;-61,2;T4 KTemp C;-63,8;-63,2
189;23-02-2021;11:26:24;-64,3;T1 KTemp C;-62,1;T2 KTemp C;-62,1;T3 KTemp C;-61,5;T4 KTemp C;-64,1;-63,5
191;23-02-2021;11:27:24;-64,4;T1 KTemp C;-62,5;T2 KTemp C;-62,6;T3 KTemp C;-61,8;T4 KTemp C;-64,6;-63,8
193;23-02-2021;11:28:24;-64,5;T1 KTemp C;-62,9;T2 KTemp C;-62,9;T3 KTemp C;-62,1;T4 KTemp C;-64,9;-64,1
195;23-02-2021;11:29:24;-64,4;T1 KTemp C;-63,1;T2 KTemp C;-63,2;T3 KTemp C;-62,4;T4 KTemp C;-65,2;-64,4
197;23-02-2021;11:30:24;-64,1;T1 KTemp C;-63;T2 KTemp C;-63;T3 KTemp C;-62,4;T4 KTemp C;-65;-64,4
199;23-02-2021;11:31:24;-63,9;T1 KTemp C;-63;T2 KTemp C;-62,9;T3 KTemp C;-62,2;T4 KTemp C;-64,9;-64,2
201;23-02-2021;11:32:24;-63,8;T1 KTemp C;-62,9;T2 KTemp C;-62,8;T3 KTemp C;-62,1;T4 KTemp C;-64,8;-64,1
203;23-02-2021;11:33:24;-63,6;T1 KTemp C;-62,8;T2 KTemp C;-62,7;T3 KTemp C;-62,1;T4 KTemp C;-64,7;-64,1
205;23-02-2021;11:34:24;-63,5;T1 KTemp C;-62,6;T2 KTemp C;-62,6;T3 KTemp C;-61,9;T4 KTemp C;-64,6;-63,9
207;23-02-2021;11:35:24;-63,2;T1 KTemp C;-62,5;T2 KTemp C;-62,4;T3 KTemp C;-61,8;T4 KTemp C;-64,4;-63,8
209;23-02-2021;11:36:24;-62,8;T1 KTemp C;-62,2;T2 KTemp C;-62,2;T3 KTemp C;-61,5;T4 KTemp C;-64,2;-63,5
211;23-02-2021;11:37:24;-62,7;T1 KTemp C;-62,1;T2 KTemp C;-61,9;T3 KTemp C;-61,4;T4 KTemp C;-63,9;-63,4
213;23-02-2021;11:38:24;-62,5;T1 KTemp C;-61,9;T2 KTemp C;-61,9;T3 KTemp C;-61,3;T4 KTemp C;-63,9;-63,3
215;23-02-2021;11:39:24;-62,4;T1 KTemp C;-62,1;T2 KTemp C;-62,2;T3 KTemp C;-61,4;T4 KTemp C;-64,2;-63,4
217;23-02-2021;11:40:24;-62,3;T1 KTemp C;-62,1;T2 KTemp C;-62,3;T3 KTemp C;-61,5;T4 KTemp C;-64,3;-63,5
219;23-02-2021;11:41:24;-62,2;T1 KTemp C;-62;T2 KTemp C;-62,2;T3 KTemp C;-61,4;T4 KTemp C;-64,2;-63,4
221;23-02-2021;11:42:24;-62,4;T1 KTemp C;-61,9;T2 KTemp C;-62,2;T3 KTemp C;-61,4;T4 KTemp C;-64,2;-63,4
223;23-02-2021;11:43:24;-62,6;T1 KTemp C;-61,9;T2 KTemp C;-62,1;T3 KTemp C;-61,3;T4 KTemp C;-64,1;-63,3
225;23-02-2021;11:44:24;-63;T1 KTemp C;-61,8;T2 KTemp C;-62;T3 KTemp C;-61,3;T4 KTemp C;-64;-63,3
227;23-02-2021;11:45:24;-63,3;T1 KTemp C;-61,8;T2 KTemp C;-62;T3 KTemp C;-61,3;T4 KTemp C;-64;-63,3
229;23-02-2021;11:46:24;-63,7;T1 KTemp C;-62;T2 KTemp C;-62,1;T3 KTemp C;-61,4;T4 KTemp C;-64,1;-63,4
231;23-02-2021;11:47:24;-64,1;T1 KTemp C;-62,1;T2 KTemp C;-62,2;T3 KTemp C;-61,5;T4 KTemp C;-64,2;-63,5
233;23-02-2021;11:48:24;-64,3;T1 KTemp C;-62,3;T2 KTemp C;-62,3;T3 KTemp C;-61,7;T4 KTemp C;-64,3;-63,7
235;23-02-2021;11:49:24;-64,6;T1 KTemp C;-62,4;T2 KTemp C;-62,4;T3 KTemp C;-61,8;T4 KTemp C;-64,4;-63,8
237;23-02-2021;11:50:24;-64,6;T1 KTemp C;-62,4;T2 KTemp C;-62,4;T3 KTemp C;-61,9;T4 KTemp C;-64,4;-63,9
239;23-02-2021;11:51:24;-63,6;T1 KTemp C;-62,3;T2 KTemp C;-62,2;T3 KTemp C;-61,7;T4 KTemp C;-64,2;-63,7
241;23-02-2021;11:52:24;-61,9;T1 KTemp C;-62,2;T2 KTemp C;-62,1;T3 KTemp C;-61,6;T4 KTemp C;-64,1;-63,6
243;23-02-2021;11:53:24;-60,6;T1 KTemp C;-61,9;T2 KTemp C;-61,9;T3 KTemp C;-61,3;T4 KTemp C;-63,9;-63,3
245;23-02-2021;11:54:24;-59,4;T1 KTemp C;-61,8;T2 KTemp C;-61,8;T3 KTemp C;-61,2;T4 KTemp C;-63,8;-63,2
247;23-02-2021;11:55:24;-58,3;T1 KTemp C;-61,6;T2 KTemp C;-61,6;T3 KTemp C;-61;T4 KTemp C;-63,6;-63
249;23-02-2021;11:56:24;-57,2;T1 KTemp C;-61,4;T2 KTemp C;-61,5;T3 KTemp C;-60,8;T4 KTemp C;-63,5;-62,8
251;23-02-2021;11:57:24;-56,3;T1 KTemp C;-61,4;T2 KTemp C;-61,4;T3 KTemp C;-60,7;T4 KTemp C;-63,4;-62,7
253;23-02-2021;11:58:24;-55,3;T1 KTemp C;-61,4;T2 KTemp C;-61,5;T3 KTemp C;-60,7;T4 KTemp C;-63,5;-62,7
255;23-02-2021;11:59:24;-54,1;T1 KTemp C;-61,3;T2 KTemp C;-61,5;T3 KTemp C;-60,6;T4 KTemp C;-63,5;-62,6
257;23-02-2021;12:00:24;-52,9;T1 KTemp C;-61,2;T2 KTemp C;-61,4;T3 KTemp C;-60,6;T4 KTemp C;-63,4;-62,6
259;23-02-2021;12:01:24;-51,5;T1 KTemp C;-61;T2 KTemp C;-61,2;T3 KTemp C;-60,3;T4 KTemp C;-63,2;-62,3
261;23-02-2021;12:02:24;-50,1;T1 KTemp C;-60,8;T2 KTemp C;-61;T3 KTemp C;-60,1;T4 KTemp C;-63;-62,1
263;23-02-2021;12:03:24;-48,9;T1 KTemp C;-60,6;T2 KTemp C;-60,9;T3 KTemp C;-60;T4 KTemp C;-62,9;-62
265;23-02-2021;12:04:24;-48,2;T1 KTemp C;-60,3;T2 KTemp C;-60,6;T3 KTemp C;-59,8;T4 KTemp C;-62,6;-61,8
267;23-02-2021;12:05:24;-47,8;T1 KTemp C;-60;T2 KTemp C;-60,5;T3 KTemp C;-59,5;T4 KTemp C;-62,5;-61,5
269;23-02-2021;12:06:24;-49,3;T1 KTemp C;-59,7;T2 KTemp C;-60,2;T3 KTemp C;-58,9;T4 KTemp C;-62,2;-60,9
271;23-02-2021;12:07:24;-50,5;T1 KTemp C;-59,4;T2 KTemp C;-60,1;T3 KTemp C;-58,9;T4 KTemp C;-62,1;-60,9
273;23-02-2021;12:08:24;-51,7;T1 KTemp C;-59,1;T2 KTemp C;-59,8;T3 KTemp C;-58,8;T4 KTemp C;-61,8;-60,8
275;23-02-2021;12:09:24;-52,7;T1 KTemp C;-58,9;T2 KTemp C;-59,6;T3 KTemp C;-58,7;T4 KTemp C;-61,6;-60,7
277;23-02-2021;12:10:24;-53,6;T1 KTemp C;-58,6;T2 KTemp C;-59,4;T3 KTemp C;-58,4;T4 KTemp C;-61,4;-60,4
279;23-02-2021;12:11:24;-54,2;T1 KTemp C;-58,2;T2 KTemp C;-59,1;T3 KTemp C;-58,1;T4 KTemp C;-61,1;-60,1
281;23-02-2021;12:12:24;-55;T1 KTemp C;-58;T2 KTemp C;-58,8;T3 KTemp C;-57,9;T4 KTemp C;-60,8;-59,9
283;23-02-2021;12:13:24;-55,7;T1 KTemp C;-57,8;T2 KTemp C;-58,7;T3 KTemp C;-57,7;T4 KTemp C;-60,7;-59,7
